index,DR Number,Date Occurred,Time Occurred,latitude,longitude
5741,120907831,2012-03-10,20:20,34.1576,-118.4312
5761,120909256,2012-04-06,21:20,34.1585,-118.4662
5765,120908829,2012-03-29,13:00,34.1576,-118.44
5769,120907967,2012-03-13,14:30,34.1721,-118.4662
5778,120908775,2012-03-27,08:35,34.2012,-118.4734
5781,120907870,2012-03-10,00:50,34.1649,-118.4662
5782,120908251,2012-03-18,06:30,34.1576,-118.44
5787,120908005,2012-03-13,20:00,34.1594,-118.4487
5801,120909084,2012-04-03,09:00,34.1576,-118.4236
5803,120908633,2012-03-25,07:25,34.1594,-118.4486
5805,120907563,2012-03-05,17:50,34.1603,-118.4656
5810,120907530,2012-03-04,12:30,34.1576,-118.44
5818,120908647,2012-03-25,15:00,34.1721,-118.4662
5821,120907854,2012-03-11,15:15,34.1553,-118.4312
5830,120907273,2012-03-01,14:00,34.154,-118.4552
5832,120907586,2012-03-02,15:30,34.1576,-118.44
5838,120908338,2012-03-19,12:00,34.1585,-118.4662
5850,120908284,2012-03-18,20:05,34.1576,-118.4659
5858,120908851,2012-03-29,16:15,34.1576,-118.4312
5873,120908243,2012-03-18,01:50,34.1721,-118.4662
5878,120908698,2012-03-27,11:55,34.153,-118.4312
5882,120908568,2012-03-23,16:15,34.1758,-118.4662
5886,120907434,2012-03-03,19:55,34.1576,-118.4574
5889,120908914,2012-03-31,00:10,34.153,-118.4487
5891,120908144,2012-03-15,20:30,34.164,-118.4662
5893,120909046,2012-04-02,12:00,34.1538,-118.4662
5895,120908674,2012-03-26,17:15,34.1685,-118.4659
5896,120907596,2012-03-06,15:20,34.1758,-118.4662
5899,120907751,2012-03-09,11:30,34.1685,-118.4659
5903,120908058,2012-03-14,13:20,34.1794,-118.4662
5906,120909049,2012-04-02,13:30,34.1806,-118.4662
5912,120908630,2012-03-10,12:00,34.1576,-118.44
5914,120908823,2012-03-29,09:20,34.1794,-118.4662
5918,120908286,2012-03-18,19:10,34.1576,-118.44
